coletanea;codigo;numeracao;titulo;creditos
Cantor Cristão;CC;101;Ressurgiu;Charles Wesley
Cantor Cristão;CC;102;Cristo volta;
Cantor Cristão;CC;103;Jesus vindo;
Cantor Cristão;CC;104;O bom porvir;
Cantor Cristão;CC;105;Feliz;
Cantor Cristão;CC;106;O desejado;
Cantor Cristão;CC;107;Esperando;
Cantor Cristão;CC;108;Chamada final;James Milton Black
Cantor Cristão;CC;109;Por pouco tempo;
Cantor Cristão;CC;110;Quando Cristo vier;
Cantor Cristão;CC;111;Não tardará;
Cantor Cristão;CC;112;Vencendo vem Jesus;John William Steffe Julia Ward Howe
Cantor Cristão;CC;113;O dia glorioso;
Cantor Cristão;CC;114;A vinda do Senhor;
Cantor Cristão;CC;115;Breve com Jesus;
Cantor Cristão;CC;116;Desejo da alma;William H.Doane | Fanny Jane Crosby
Cantor Cristão;CC;117;Espírito santo;
Cantor Cristão;CC;118;Santo espírito;
Cantor Cristão;CC;119;Fidelidade;
Cantor Cristão;CC;120;Louvai ao Senhor;
Cantor Cristão;CC;121;Ecos de louvor;
Cantor Cristão;CC;122;Motivos de louvor;
Cantor Cristão;CC;123;Bendito cordeiro;Henry Southwick Perkins
Cantor Cristão;CC;124;Cantarei;
Cantor Cristão;CC;125;Redenção;James McGranahan | Daniel Webster Whittle
Cantor Cristão;CC;126;Louvai;Chester G.Allen | Fanny Jane Crosby
Cantor Cristão;CC;127;Jesus bondoso;
Cantor Cristão;CC;128;A redenção;
Cantor Cristão;CC;129;Luz bendita;John R.Sweney | Eliza E.Hewitt
Cantor Cristão;CC;130;Beneficência;
Cantor Cristão;CC;131;Bendize;
Cantor Cristão;CC;132;Ebenezer;Ebenezer John Wyeth | Robert Robinson
Cantor Cristão;CC;133;Exultação;
Cantor Cristão;CC;134;Reino universal;
Cantor Cristão;CC;135;Louvor;ohn Jenkins Husband | William Paton MacKay
Cantor Cristão;CC;136;Estudo bíblico;
Cantor Cristão;CC;137;O pão da vida;
Cantor Cristão;CC;138;A lei do Senhor;
Cantor Cristão;CC;139;Dia do Senhor;
Cantor Cristão;CC;140;Domingo;
Cantor Cristão;CC;141;Descanso aos domingos;
Cantor Cristão;CC;142;Pão da vida;
Cantor Cristão;CC;143;A ceia do Senhor;
Cantor Cristão;CC;144;Vera páscoa;
Cantor Cristão;CC;145;Batismo;
Cantor Cristão;CC;146;Alegria verdadeira;
Cantor Cristão;CC;147;Obediência no batismo;
Cantor Cristão;CC;148;Hora bendita;William Batchelder Bradbury | William W Walford
Cantor Cristão;CC;149;Persistência em oração;
Cantor Cristão;CC;150;Pai nosso;
Cantor Cristão;CC;151;Comunhão;
Cantor Cristão;CC;152;Pastor divino;
Cantor Cristão;CC;153;Perdão;
Cantor Cristão;CC;154;Firmes nas promessas;Russel Kelso Carter | William Paton MacKay
Cantor Cristão;CC;155;O grande amigo;Charles Crozat Converse | Joseph Scriven
Cantor Cristão;CC;156;Orando sempre;
Cantor Cristão;CC;157;Vivifica-nos, Senhor;
Cantor Cristão;CC;158;Em oração;
Cantor Cristão;CC;159;Minha oração;William H.Doane | James Theodore Houston
Cantor Cristão;CC;160;A fé contemplada;Bentley DeForrest Ackley | James Rowe
Cantor Cristão;CC;161;Poder espiritual;
Cantor Cristão;CC;162;Vigiar e orar;
Cantor Cristão;CC;163;Desejos;
Cantor Cristão;CC;164;Vivificação;
Cantor Cristão;CC;165;Oração;
Cantor Cristão;CC;166;As promessas de Deus;
Cantor Cristão;CC;167;Vem inflama;Ira David Sankey | Guilherme Luiz S.Ferreira
Cantor Cristão;CC;168;Chuvas de bênçãos;James McGranahan | Daniel Webster Whittle
Cantor Cristão;CC;169;Mais de Cristo;John Robson Sweney | Eliza Edmunds Hewitt
Cantor Cristão;CC;170;Oração de consagração;Philip Paulo Bliss
Cantor Cristão;CC;171;Avivamento;William H.Doane | Albert Midlane
Cantor Cristão;CC;172;Cada dia;
Cantor Cristão;CC;173;Mais amor;
Cantor Cristão;CC;174;Faça-se a luz;
Cantor Cristão;CC;175;Minha aspiração;
Cantor Cristão;CC;176;Tempo de ser santo;
Cantor Cristão;CC;177;Alvorada;
Cantor Cristão;CC;178;O culto findou;
Cantor Cristão;CC;179;Fim do culto;
Cantor Cristão;CC;180;Despedida;
Cantor Cristão;CC;181;Bênção;
Cantor Cristão;CC;182;Despedida do culto;
Cantor Cristão;CC;183;A luz do mundo;
Cantor Cristão;CC;184;Há livre perdão;
Cantor Cristão;CC;185;Somente Cristo;
Cantor Cristão;CC;186;É Jesus quem salva;
Cantor Cristão;CC;187;Teus pecados;
Cantor Cristão;CC;188;O evangelho;
Cantor Cristão;CC;189;Graça inefável;
Cantor Cristão;CC;190;Para salvar-te;
Cantor Cristão;CC;191;Eis a nova;J.S.Fearis Manuel A.de Souza
Cantor Cristão;CC;192;Só por Jesus;Philip P.Bliss
Cantor Cristão;CC;193;Proclamação;
Cantor Cristão;CC;194;A mensagem celeste;
Cantor Cristão;CC;195;Vida por um olhar;
Cantor Cristão;CC;196;Conta-me;
Cantor Cristão;CC;197;Inabalável;
Cantor Cristão;CC;198;Aleluia;
Cantor Cristão;CC;199;Cordeiro divino;
Cantor Cristão;CC;200;Cristo meu salvador;
Cantor Cristão;CC;201;Novo nascimento;George C.Stebbins | William T.Sleeper
Cantor Cristão;CC;202;Jesus tem o poder;
Cantor Cristão;CC;203;Olha para Cristo;Philip P.Bliss | Henry Burton
Cantor Cristão;CC;204;Reconciliai-vos;
Cantor Cristão;CC;205;Ó minha alma sem demora;
Cantor Cristão;CC;206;Promessa gloriosa;
Cantor Cristão;CC;207;Mensagem real;
Cantor Cristão;CC;208;Justificação;Philip P.Bliss
Cantor Cristão;CC;209;Venham escutar;
Cantor Cristão;CC;210;Cristo te chama;George Coles Stebbins | Fanny Jane Crosby
Cantor Cristão;CC;211;Vem, pecador;
Cantor Cristão;CC;212;Oh, vinde já;
Cantor Cristão;CC;213;Quem ouvir as novas;
Cantor Cristão;CC;214;Cristo chama por ti;Bentley DEForrest Ackley | M.Avelino de Souza
Cantor Cristão;CC;215;Fonte bendita;
Cantor Cristão;CC;216;Descanso em Jesus;
Cantor Cristão;CC;217;Segue-me;
Cantor Cristão;CC;218;Vinde a mim;
Cantor Cristão;CC;219;Vem já;
Cantor Cristão;CC;220;Perdão e salvação;
Cantor Cristão;CC;221;Convite;
Cantor Cristão;CC;222;Manso e suave;Will Lamartine Thompson
Cantor Cristão;CC;223;Abrigo;
