coletanea;codigo;titulo;creditos
CC;154;Firmes nas promessas;Russel Kelso Carter | William Paton MacKay
CC;155;O grande amigo;Charles Crozat Converse | Joseph Scriven
CC;156;Orando sempre;
CC;157;Vivifica-nos, Senhor;
CC;158;Em oração;
CC;159;Minha oração;William H.Doane | James Theodore Houston
CC;160;A fé contemplada;Bentley DeForrest Ackley | James Rowe
CC;161;Poder espiritual;
CC;162;Vigiar e orar;
CC;163;Desejos;
CC;164;Vivificação;
CC;165;Oração;
CC;166;As promessas de Deus;
CC;167;Vem inflama;Ira David Sankey | Guilherme Luiz S.Ferreira
CC;168;Chuvas de bênçãos;James McGranahan | Daniel Webster Whittle
CC;169;Mais de Cristo;John Robson Sweney | Eliza Edmunds Hewitt
CC;170;Oração de consagração;Philip Paulo Bliss
CC;171;Avivamento;William H.Doane | Albert Midlane
CC;172;Cada dia;
CC;173;Mais amor;
CC;174;Faça-se a luz;
CC;175;Minha aspiração;
CC;176;Tempo de ser santo;
CC;177;Alvorada;
CC;178;O culto findou;
CC;179;Fim do culto;
CC;180;Despedida;
CC;181;Bênção;
CC;182;Despedida do culto;
CC;183;A luz do mundo;
CC;184;Há livre perdão;
CC;185;Somente Cristo;
CC;186;É Jesus quem salva;
CC;187;Teus pecados;
CC;188;O evangelho;
CC;189;Graça inefável;
CC;190;Para salvar-te;
CC;191;Eis a nova;J.S.Fearis Manuel A.de Souza
CC;192;Só por Jesus;Philip P.Bliss
CC;193;Proclamação;
CC;194;A mensagem celeste;
CC;195;Vida por um olhar;
CC;196;Conta-me;
CC;197;Inabalável;
CC;198;Aleluia;
CC;199;Cordeiro divino;
CC;200;Cristo meu salvador;
CC;201;Novo nascimento;George C.Stebbins | William T.Sleeper
CC;202;Jesus tem o poder;
CC;203;Olha para Cristo;Philip P.Bliss | Henry Burton
CC;204;Reconciliai-vos;
CC;205;Ó minha alma sem demora;
CC;206;Promessa gloriosa;
CC;207;Mensagem real;
CC;208;Justificação;Philip P.Bliss
CC;209;Venham escutar;
CC;210;Cristo te chama;George Coles Stebbins | Fanny Jane Crosby
CC;211;Vem, pecador;
CC;212;Oh, vinde já;
CC;213;Quem ouvir as novas;
CC;214;Cristo chama por ti;Bentley DEForrest Ackley | M.Avelino de Souza
CC;215;Fonte bendita;
CC;216;Descanso em Jesus;
CC;217;Segue-me;
CC;218;Vinde a mim;
CC;219;Vem já;
CC;220;Perdão e salvação;
CC;221;Convite;
CC;222;Manso e suave;Will Lamartine Thompson
CC;223;Abrigo;
CC;224;Um passo só;
CC;225;Voz de ternura;John Hart Stockton | William Hunter
CC;226;Dá teu coração;
CC;227;Despertado coração;
CC;228;Ouvi a chamada;
CC;229;Régio hóspede;Williams Daniel W.Whittle | CC Williams Daniel W.Whittle
CC;230;Deus chamando;
CC;231;Vem filho vem;Ira David Sankey | Horatius Bonar
CC;232;Cristo à porta;
