codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;88;Que fazes por mim
CC;Cantor Cristão;89;O poder do sangue;Lewis Edgar Jones
CC;Cantor Cristão;90;Contemplação
CC;Cantor Cristão;91;Sangue de Jesus
CC;Cantor Cristão;92;Substituição;Frances Ridley Havergal | Philip Paul Bliss
CC;Cantor Cristão;93;Só no sangue
CC;Cantor Cristão;94;Jesus na cruz
CC;Cantor Cristão;95;Vitória do rejeitado
CC;Cantor Cristão;96;Deslumbrante;Antonio José S.Neves | Robert Lowry
CC;Cantor Cristão;97;Jesus veio aqui
CC;Cantor Cristão;98;Jesus triunfou
CC;Cantor Cristão;99;Ressurreição;Robert Lowry
CC;Cantor Cristão;100;Jesus ressuscitado
CC;Cantor Cristão;101;Ressurgiu;Charles Wesley
CC;Cantor Cristão;102;Cristo volta
CC;Cantor Cristão;103;Jesus vindo
CC;Cantor Cristão;104;O bom porvir
CC;Cantor Cristão;105;Feliz
CC;Cantor Cristão;106;O desejado
CC;Cantor Cristão;107;Esperando
CC;Cantor Cristão;108;Chamada final;James Milton Black
CC;Cantor Cristão;109;Por pouco tempo
CC;Cantor Cristão;110;Quando Cristo vier
CC;Cantor Cristão;111;Não tardará
CC;Cantor Cristão;112;Vencendo vem Jesus;John William Steffe Julia Ward Howe
CC;Cantor Cristão;113;O dia glorioso
CC;Cantor Cristão;114;A vinda do Senhor
CC;Cantor Cristão;115;Breve com Jesus
CC;Cantor Cristão;116;Desejo da alma;William H.Doane | Fanny Jane Crosby
CC;Cantor Cristão;117;Espírito santo
CC;Cantor Cristão;118;Santo espírito
CC;Cantor Cristão;119;Fidelidade
CC;Cantor Cristão;120;Louvai ao Senhor
CC;Cantor Cristão;121;Ecos de louvor
CC;Cantor Cristão;122;Motivos de louvor
CC;Cantor Cristão;123;Bendito cordeiro;Henry Southwick Perkins
CC;Cantor Cristão;124;Cantarei
CC;Cantor Cristão;125;Redenção;James McGranahan | Daniel Webster Whittle
CC;Cantor Cristão;126;Louvai;Chester G.Allen | Fanny Jane Crosby
CC;Cantor Cristão;127;Jesus bondoso
CC;Cantor Cristão;128;A redenção
CC;Cantor Cristão;129;Luz bendita;John R.Sweney | Eliza E.Hewitt
CC;Cantor Cristão;130;Beneficência
CC;Cantor Cristão;131;Bendize
CC;Cantor Cristão;132;Ebenezer;Ebenezer John Wyeth | Robert Robinson
CC;Cantor Cristão;133;Exultação
CC;Cantor Cristão;134;Reino universal
CC;Cantor Cristão;135;Louvor;ohn Jenkins Husband | William Paton MacKay
